"SECTOR","ndvi","elevation","ambnt_nm_x","ambnt_nm_y","AVE_PERI","AVE_INTRA","CUY_PERI","CUY_INTRA","PER_PER","PER_INT","GAT_PER","GAT_INT","AVE_INTRA_","CUY_INTRA_","AVE_PERI_","CUY_PERI_","n_femal","n_male","fumigad","rastros","cap_ttl","pos_ttl","INF","POS","ADOB","ADOB_RE","CARR","TEJ","TEL","PLAS","NOBL","LADR_NO","CALAM","n_people"
"CARPACHACA",0.2632,2300.09,"COCINA","CORRAL",0,15,0,0,0,0,0,0,"1","0","0","0",1,2,"NO","0",0,0,0,0,"1","0","0","0","0","1","1","0","1",3
"LAS TORRES",0.2611,2262.1,"DORMITORIO","PATIO",18,10,0,20,3,0,1,0,"1","1","1","0",0,3,"NO","0",5,0,1,0,"1","0","0","0","0","0","0","0","1",3
"LAS TORRES",0.2611,2229.86,"NO_ANIMAL_INTRA","PATIO",6,0,0,0,0,0,1,0,"0","0","1","0",1,0,"NO","0",1,0,1,0,"1","0","0","0","0","0","0","0","1",1
"CARPACHACA",0.0829,2329.98,"NO_ANIMAL_INTRA","PATIO",20,0,0,0,0,0,0,0,"0","0","1","0",1,2,"NO","0",0,0,0,0,"1","0","0","0","0","0","0","0","1",3
"LAS TORRES",0.3125,2235.46,"NO_ANIMAL_INTRA","NO_ANIMAL_PERI",0,0,0,0,0,0,0,0,"0","0","0","0",1,1,"NO","0",2,0,1,0,"1","0","0","0","0","0","0","0","1",2
"CARPACHACA",0.2632,2310.87,"NO_ANIMAL_INTRA","NO_ANIMAL_PERI",0,0,0,0,0,0,0,0,"0","0","0","0",0,0,"NO","0",0,0,0,0,"1","0","0","0","0","0","0","0","0",0
"LAS TORRES",0.2611,2265.06,"CORRAL","PATIO",2,0,0,8,5,0,1,0,"0","1","1","0",0,3,"NO","0",0,0,0,0,"1","0","0","0","0","0","1","0","0",3
"LAS TORRES",0.3125,2247.5,"COCINA","PATIO",16,0,0,1,1,0,0,0,"0","1","1","0",1,1,"NO","1",0,0,0,0,"1","0","0","0","0","0","1","0","1",2
"LAS TORRES",0.2611,2268.1,"DORMITORIO","PATIO",3,0,0,1,1,0,1,0,"0","1","1","0",1,3,"NO","0",0,0,0,0,"1","0","0","0","0","0","1","0","0",4
"CARPACHACA",0.2632,2315.21,"NO_ANIMAL_INTRA","CORRAL",49,0,49,0,1,0,1,0,"0","0","1","1",1,2,"SI","0",0,0,0,0,"1","0","0","0","0","1","0","0","1",3
"CARPACHACA",0.2632,2308.87,"NO_ANIMAL_INTRA","PATIO",18,0,0,0,1,0,0,0,"0","0","1","0",3,1,"NO","0",0,0,0,0,"1","0","1","0","0","0","1","0","1",4
"CARPACHACA",0.2632,2319.04,"SALA","CORRAL",15,0,0,10,0,0,0,0,"0","1","1","0",0,1,"SI","0",0,0,0,0,"1","0","1","1","0","0","1","0","1",1
"LAS TORRES",0.2611,2272.93,"NO_ANIMAL_INTRA","NO_ANIMAL_PERI",0,0,0,0,0,0,0,0,"0","0","0","0",0,0,"NO","0",0,0,0,0,"1","0","0","1","0","0","1","0","1",0
"LAS TORRES",0.3125,2274.97,"CORRAL","PATIO",0,0,0,20,1,0,2,0,"0","1","0","0",2,3,"SI","0",0,0,0,0,"1","0","0","0","0","0","0","0","1",5
"CARPACHACA",0.0829,2423.16,"NO_ANIMAL_INTRA","NO_ANIMAL_PERI",0,0,0,0,0,0,0,0,"0","0","0","0",0,0,"NO","0",0,0,0,0,"1","0","0","0","0","0","0","0","1",0
"CARPACHACA",0.3605,2313.91,"COCINA","PATIO",17,0,0,15,2,0,0,0,"0","1","1","0",1,0,"SI","0",0,0,0,0,"1","0","0","0","0","1","1","0","1",1
